"","Y","D","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1",15000,0,58,52590,16,2,1,1,0,0,1
"2",2000,0,30,46008,10,4,1,0,0,0,1
"3",-9940,0,39,52110,16,1,0,0,1,0,0
"4",97664,0,58,44640,12,1,0,0,0,1,1
"5",-3000,0,39,48360,13,4,1,1,0,0,1
"6",24654,0,52,40041,14,3,0,0,0,0,1
"7",8300,0,61,37911,12,5,1,1,0,0,1
"8",-12465,0,50,41217,7,4,1,1,0,0,1
"9",1384,0,30,46398,16,4,1,1,0,0,1
"10",10600,0,46,41622,11,5,1,0,0,1,1
"11",41302,0,63,46122,13,2,1,0,0,0,1
"12",10055,0,34,41757,12,4,1,0,0,1,1
"13",-5100,0,35,38244,16,3,1,1,0,0,0
"14",-9100,0,29,49200,17,2,1,1,0,0,1
"15",0,0,32,37593,16,4,1,1,1,0,0
"16",49,0,38,39420,14,4,1,1,0,0,1
"17",-86500,0,57,47193,12,2,1,1,0,0,0
"18",4700,0,56,48690,12,3,1,1,1,1,1
"19",-2200,0,34,43716,12,3,1,1,1,0,0
"20",7299,0,31,43005,12,2,1,1,0,1,1
"21",499,0,47,49206,16,4,1,1,0,0,1
"22",44763,0,62,40500,11,3,1,1,0,1,1
"23",4144,0,44,47769,12,6,1,0,0,0,1
"24",385000,0,43,50484,12,3,0,0,0,1,1
"25",-4000,0,45,42576,16,1,0,0,1,0,0
"26",-5000,0,48,45165,12,3,1,1,0,0,1
"27",12877,0,31,37461,12,4,1,1,0,0,1
"28",-5250,0,48,49656,12,3,1,1,0,0,0
"29",26000,0,40,52998,18,1,0,0,1,0,1
"30",4000,0,63,37320,8,2,1,0,0,0,1
"31",1799,0,54,53133,18,3,1,1,0,0,0
"32",200,0,30,42315,14,2,1,1,0,0,1
"33",130812,0,59,45519,12,2,1,1,0,1,1
"34",4600,0,32,50970,15,2,1,0,0,0,1
"35",50,0,43,39612,12,2,1,1,0,0,1
"36",-1700,0,29,39051,16,1,0,0,0,0,0
"37",-225,0,44,42744,13,2,1,1,1,0,0
"38",-101436,0,31,42555,13,3,1,1,0,0,0
