"","Y","D","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1",0,0,47,6765,8,2,0,0,0,0,1
"2",-2000,0,37,3300,12,6,0,0,1,0,0
"3",-650,0,54,4686,11,3,0,0,0,0,1
"4",783,0,52,15306,12,3,1,0,0,0,1
"5",-1000,0,29,14580,12,3,0,0,0,0,0
"6",0,0,44,3825,12,1,0,0,0,0,0
"7",0,0,57,5220,18,1,0,0,1,0,0
"8",-800,0,42,9120,10,5,0,0,0,0,1
"9",0,0,37,10524,14,3,0,0,0,0,0
"10",-2797,0,39,13512,12,3,1,1,1,0,1
"11",-500,0,43,14280,4,4,1,0,0,0,0
"12",249,0,31,14931,16,1,0,0,0,0,1
"13",-550,0,30,15822,15,4,1,0,0,0,1
"14",-120,0,26,15450,12,3,0,0,0,0,1
"15",-3900,0,37,13839,16,1,0,0,0,0,1
"16",-1002,0,32,10164,12,5,0,0,0,0,1
"17",2250,0,25,3150,16,1,0,0,0,0,0
"18",10,0,29,16194,12,3,0,0,0,0,1
"19",1400,0,58,14400,4,5,1,0,0,0,1
"20",-550,0,43,14292,12,3,1,0,0,0,1
"21",-50,0,30,12051,18,1,0,0,0,0,0
"22",0,0,49,11730,4,6,1,0,0,0,0
"23",10,0,34,7329,16,1,0,0,0,0,0
"24",20,0,57,6885,12,2,0,0,0,0,1
"25",200,0,28,17370,12,1,0,0,0,0,0
"26",-1345,0,63,16575,11,2,1,1,0,0,0
"27",3720,0,60,2307,10,2,0,0,0,0,1
"28",15970,0,37,7182,18,1,0,0,0,0,1
"29",-4200,0,27,13200,12,2,0,0,0,0,0
"30",-2415,0,38,14892,12,5,1,1,0,0,0
"31",0,0,29,13500,12,2,0,0,0,0,0
"32",-712,0,30,9009,6,4,1,0,0,0,0
"33",0,0,26,10200,14,1,0,0,0,0,0
"34",-5055,0,59,9078,6,2,1,0,0,0,1
"35",5399,0,31,13479,12,3,1,0,0,1,0
"36",0,0,40,10260,12,1,0,0,0,0,0
"37",-170,0,43,15330,10,5,1,0,0,0,0
"38",-9764,0,43,11454,12,5,1,0,0,0,1
"39",600,0,42,10428,12,3,0,0,0,0,1
"40",0,0,40,10560,12,2,0,0,0,0,0
"41",-18500,0,56,12024,12,2,0,0,0,0,1
"42",0,0,38,10443,12,4,0,0,0,0,0
"43",850,0,26,16116,13,3,1,0,0,0,0
"44",1460,0,54,7440,8,1,0,0,1,0,1
"45",-9600,0,47,15141,12,2,1,0,0,0,1
"46",2924,0,27,16860,12,1,0,0,0,0,0
"47",0,0,43,16080,14,1,0,0,0,0,0
"48",740,0,28,16830,13,1,0,0,1,0,0
"49",4500,0,59,7740,7,2,1,0,0,0,1
"50",-300,0,33,13755,12,3,0,0,1,0,0
"51",-9550,0,42,12600,12,1,0,0,0,0,1
"52",0,0,27,16200,12,1,0,0,0,0,0
"53",1800,0,45,14850,12,2,0,0,0,0,1
"54",-3386,0,29,16902,1,7,1,0,0,0,0
"55",-400,0,63,11877,12,3,0,0,0,0,0
"56",-6397,0,43,11103,14,4,0,0,0,0,0
"57",2750,0,44,10446,12,5,1,0,0,0,1
"58",31,0,29,15174,12,4,0,0,0,0,1
"59",50,0,40,12120,12,4,0,0,1,0,1
"60",0,0,35,9042,12,1,0,0,1,0,0
"61",131,0,39,11604,18,3,1,1,0,0,1
"62",599,0,27,10836,14,3,0,0,0,0,1
"63",1490,0,38,12816,10,4,1,0,0,0,1
"64",100,0,52,4890,10,1,0,0,0,0,1
"65",52000,0,61,13206,12,4,0,0,0,1,1
"66",-450,0,31,12816,12,4,0,0,0,0,0
"67",0,0,36,5103,12,2,0,0,0,0,0
"68",30,0,29,12756,12,1,0,0,0,0,0
"69",0,0,33,4845,12,3,0,0,0,0,0
"70",5000,0,32,11100,1,5,1,0,0,0,0
"71",0,0,26,5280,12,1,0,0,0,0,1
"72",0,0,30,4200,11,6,0,0,1,0,0
"73",0,0,46,7668,8,2,0,0,0,0,1
"74",0,0,55,7872,11,2,0,0,0,0,0
"75",0,0,25,14439,9,3,1,0,0,0,0
"76",-600,0,42,12240,12,3,1,0,0,0,0
"77",12000,0,35,13704,12,6,1,0,0,1,1
